Section,Row,Data Point,Definition / Notes,Implementation Status,Data Source,Computation Logic,Priority Level,Dependencies,Prototype Coverage,Real Content Field,Additional Notes
Promotions,Row 4,Promotion Performance List,Ranked list of promotion performance,Updated,Content Export + GA4 + Computed,"Link id to performance: CIV + (CC * 10) + (ATL * 50)",P0,GA4 integration,✅ Implemented,id + Title + Description,Rich content context for data grid
Promotions,Row 5,Size Class Mix,Distribution across S/M/L size classes,Updated,Content Export + Computed,"Classify: S(1x1), M(≤2x1 OR 1x2), L(≥3x2 OR ≥2x2)",P1,Size classification logic,⚠️ Needs Implementation,length_not_required + height_not_required,"Real dimensions available: 1-3 length, 1-2 height"
Promotions,Row 5,Best Performing Size Class,Top performing size by engagement,Updated,Content Export + GA4 + Computed,"MAX(AVG(engagement)) GROUP BY computed_size_class",P1,Size classification + GA4,⚠️ Needs Implementation,length + height + performance,Size performance correlation analysis
Promotions,Row 5,Expanded Interaction Rate,Rate of card expansion/interaction,Updated,GA4 + Content Export,"(expand_events / view_events) * 100 WHERE id = promotion_id",P2,Event tracking + Content ID mapping,❌ Not Implemented,id (tracking key),Individual promotion interaction tracking
Promotions,Row 5,Size Effect Index,Impact factor of promotion size on performance,Updated,Content Export + GA4 + Computed,"Correlation between (length*height) and engagement_score",P2,Size calculation + Performance data,❌ Not Implemented,length × height + performance,Statistical analysis of size impact
Promotions,Row 6,Shared Promotions,Count of promotions shared externally,Planned,GA4 + Content Export,"COUNT(share_events) WHERE promotion_id = id",P2,Share event tracking + Content mapping,❌ Not Implemented,id (share tracking key),Individual promotion sharing
Promotions,Row 6,Share Open Rate,Percentage of shared links opened,Planned,GA4 + Content Export + UTM,"(share_open_events / share_sent_events) * 100 WHERE id",P2,UTM tracking + Content mapping,❌ Not Implemented,id + Link field,Link field available for UTM tracking
Promotions,Row 6,Share Add-to-List Rate,Conversion rate from shared promotions,Planned,GA4 + Content Export,"(share_atl_events / share_open_events) * 100 WHERE id",P2,End-to-end tracking + Content,❌ Not Implemented,id (conversion tracking),Full funnel tracking per promotion
Always Visible KPIs,-,Site Visits,Total website sessions,Complete,GA4 + Content Export,SUM(sessions) WHERE campaign_id IN active_campaigns,P0,GA4 + Active campaign filter,✅ Implemented,campaign_id (filter context),Filter by active campaigns
Always Visible KPIs,-,Circular Visits,Sessions with circular page views,Complete,GA4 + Content Export,"COUNT(DISTINCT session_id) WHERE page_path LIKE campaign_path",P0,GA4 + Campaign path mapping,✅ Implemented,campaign_id (path mapping),Campaign-specific page paths
Always Visible KPIs,-,Unique Users,Distinct users in time period,Complete,GA4 + Content Export,COUNT(DISTINCT user_id) WHERE campaign_id context,P0,GA4 + Campaign context,✅ Implemented,campaign_id (user context),User-level campaign attribution
Canonical IDs,-,CircularID,Unique identifier for each circular,Updated,Content Export,Direct mapping from campaign_id field,P0,None,✅ Implemented,campaign_id,Real campaign identifiers available
Canonical IDs,-,VersionID,Identifier for A/B/C test versions,Updated,Content Export + Generated,"Generate from campaign_id + version_suffix where multiple campaigns exist",P0,Campaign grouping logic,✅ Generated in Code,campaign_id + logic,Multiple campaign IDs indicate versions
Canonical IDs,-,CategoryID,Normalized category identifier,Updated,Content Export,Direct mapping from Category field with normalization,P0,Category standardization,✅ Real Categories Available,Category,"Categories: Drinks, Meat, Packaged Meats, Key"
Canonical IDs,-,PromotionID,Unique identifier for each promotion,Updated,Content Export,Direct mapping from id field,P0,None,✅ Implemented,id,Real promotion IDs available
Canonical IDs,-,ProductID,Product identifier (UPC),Updated,Content Export,Direct mapping from upc field when available,P1,UPC field mapping,⚠️ Partial Coverage,upc,UPC field present but not always populated
Canonical IDs,-,StoreID,Store location identifier,Updated,Content Export + Campaign,Derive from campaign_id or add store context to export,P1,Store field addition,⚠️ Needs Store Context,campaign_id (store context),Store context may be implicit in campaign
Canonical IDs,-,PositionID,Position within circular layout,Updated,Content Export + Computed,"Generate from parent_id hierarchy + id sequence within campaign",P1,Hierarchical position logic,⚠️ Computed from Hierarchy,parent_id + id + campaign_id,Hierarchical structure enables position calculation
Canonical IDs,-,Engagement Metrics,User interaction measurements,Complete,GA4 + Content Export,"CIV, CC, ATL events linked by id (promotion) and campaign_id",P0,GA4 Event tracking + Content mapping,✅ Implemented,id + campaign_id (link keys),Dual-level tracking: promotion + campaign
Canonical IDs,-,Composite Score,Overall performance metric,Complete,GA4 + Content Export + Computed,"CIV + (CC * 10) + (ATL * 50) WHERE id = promotion_id",P0,GA4 + Content ID mapping,✅ Implemented,id (performance key),Individual promotion scoring
Canonical IDs,-,Percentile & Quartile,Performance ranking within cohort,Complete,Content Export + GA4 + Computed,"PERCENTRANK(composite_score) PARTITION BY campaign_id",P0,Performance calculation,✅ Implemented,campaign_id + id (ranking context),Campaign-level and cross-campaign ranking
Content Metadata,-,Promotion Title,Display name for promotion,Updated,Content Export,Direct mapping from Title field with fallback logic,P0,None,✅ Available for Implementation,Title,Rich promotion titles available
Content Metadata,-,Promotion Description,Detailed promotion description,Updated,Content Export,Direct mapping from Description field,P1,None,✅ Available for Implementation,Description,Detailed offer descriptions available
Content Metadata,-,Promotion Image,Visual asset for promotion,Updated,Content Export,Direct mapping from Image field with path resolution,P1,Image path logic,✅ Available for Implementation,Image,"Multiple formats: .png, .jpg, .mp4, .webm"
Content Metadata,-,Deal Type,Type of promotional offer,Updated,Content Export,Direct mapping from deal_type field,P0,None,✅ Real Deal Types Available,deal_type,"Real types: bogo, fixed, numfor, save_x"
Content Metadata,-,Price Information,Pricing details and structure,Updated,Content Export,Direct mapping from price + Units fields,P0,Price formatting logic,✅ Available for Implementation,price + Units,Multiple price formats: $4.50, 1 FREE, $2.69/lb
Content Metadata,-,Date Range,Promotion validity period,Updated,Content Export,Direct mapping from start_date + end_date,P0,Date range logic,✅ Available for Implementation,start_date + end_date,Real date ranges with long validity periods
Content Metadata,-,Quantity Information,Purchase quantity details,Updated,Content Export,Direct mapping from Quantity + Units fields,P1,Quantity formatting,✅ Available for Implementation,Quantity + Units,Quantity requirements for deals
Content Metadata,-,Card Style,Visual styling classification,Updated,Content Export,Direct mapping from card_style_not_required field,P2,Style categorization,⚠️ Available for Implementation,card_style_not_required,"Rich styles: seg-paint, default, alt, emphasis, etc."
Content Metadata,-,Media Size,Asset size classification,Updated,Content Export,Direct mapping from media_size_not_required field,P2,Media classification,⚠️ Available for Implementation,media_size_not_required,Media sizing information available
Drill-down Context,-,Scope Parameter,Analysis scope (promotion/category/store),Updated,Content Export + URL,Map campaign_id or Category to scope context,P0,Content field mapping,✅ Implemented,campaign_id + Category,Real content context for drill-downs
Drill-down Context,-,Lens Parameter,Analysis lens (engagement/performance/trend),Complete,URL Parameter + Content,Map KPI metric + content context to lens,P0,KPI integration,✅ Implemented,Content context enhancement,Content enriches drill-down context
Drill-down Context,-,Metric Parameter,Specific metric being analyzed,Complete,URL Parameter + Content,"Pass metric + content metadata (Title, Category)",P1,Content enrichment,✅ Implemented,Title + Category + deal_type,Rich contextual information
Drill-down Context,-,Description Parameter,Human-readable context description,Updated,URL Parameter + Content Export,"Generate from Title + Category + deal_type + price",P1,Content-rich descriptions,✅ Enhanced with Real Content,Title + Description + deal_type,Rich content for user context
Filter System,-,Categories Multi-select,Filter promotions by category,Updated,Content Export + UI,"Multi-select from real categories: Drinks, Meat, Packaged Meats, Key",P0,None,✅ Real Categories Implemented,Category,Real category taxonomy available
Filter System,-,Deal Types Multi-select,Filter by promotion deal type,Updated,Content Export + UI,"Multi-select from real deal types: bogo, fixed, numfor, save_x",P0,None,✅ Real Deal Types Implemented,deal_type,Real deal type taxonomy available
Filter System,-,Size Classes Multi-select,Filter by size classification,Updated,Content Export + Computed + UI,"Multi-select: Small(1x1), Medium(≤2x1,1x2), Large(≥3x2,≥2x2)",P1,Size calculation logic,⚠️ Real Dimensions Available,length_not_required + height_not_required,Real size dimensions for classification
Filter System,-,Position Ranges Multi-select,Filter by performance position range,Updated,Content Export + Computed + UI,"Quartiles based on computed position from parent_id + id hierarchy",P1,Position calculation + Percentile,⚠️ Hierarchy Available,parent_id + id + campaign_id,Hierarchical structure enables position calculation
Filter System,-,Price Range Filter,Filter by price ranges,New,Content Export + UI,"Price range sliders based on price field values",P2,Price parsing logic,❌ New Feature Available,price + Units,Rich price data enables price filtering
Filter System,-,Date Range Filter,Filter by promotion date ranges,New,Content Export + UI,"Date range picker based on start_date + end_date",P2,Date range logic,❌ New Feature Available,start_date + end_date,Real date ranges enable temporal filtering
Filter System,-,Chip Hierarchy Display,Visual filter state with color coding,Complete,UI + State + Content,"Enhanced with content context: Header, Analysis, Content filters",P1,Content integration,✅ Enhanced with Content,All content fields,Content enriches chip display
Real-time Data,-,Data Refresh Strategy,How frequently data updates,Planned,Content Export + GA4,"Batch: Content export updates, Real-time: GA4 events",P1,Content + Analytics pipeline,❌ Not Implemented,Export frequency + GA4 stream,Content export drives refresh cycles
Real-time Data,-,Error Handling,Graceful degradation for missing data,Updated,UI + API + Content,"Handle missing content fields with fallbacks",P0,Robust content parsing,⚠️ Content-Aware Needed,All optional content fields,Many content fields marked as not_required
Real-time Data,-,Export Functionality,Data export capabilities,Updated,UI + API + Content,"Export with content metadata: Title, Description, Images",P2,Content-rich exports,❌ Content-Enhanced Available,All content metadata,Rich content data for exports
Performance,-,Content Caching,Cache content metadata efficiently,New,Content Export + System,"Cache content export data with TTL + change detection",P1,Content caching strategy,❌ New Requirement,All content fields,Large content export requires caching
Performance,-,Image Loading,Efficient image asset loading,New,Content Export + UI,"Lazy load images from Image field with optimization",P2,Image optimization,❌ New Requirement,Image field,Multiple image formats require optimization
Performance,-,Pagination Strategy,Handle large content datasets,Updated,UI + API + Content,"Server-side pagination with content metadata",P1,Content-aware pagination,✅ Enhanced with Content,Content metadata,Content enriches pagination display
Performance,-,Loading States,User feedback during content operations,Updated,UI + Content,"Loading states for content + performance data",P0,Content loading UX,✅ Content-Enhanced,All content fields,Content loading requires special handling
Integration,-,Content Export Processing,Process circular content exports,New,Content Export + System,"Parse CSV export, normalize data, generate IDs",P0,Content processing pipeline,❌ Critical New Feature,All export fields,Core integration requirement
Integration,-,GA4 Content Mapping,Link content IDs to analytics,Updated,GA4 + Content Export,"Map id + campaign_id to GA4 event parameters",P0,Content ID tracking,❌ Critical Integration,id + campaign_id,Content IDs must be in GA4 events
Integration,-,Content-Analytics Bridge,Sync content updates with analytics,New,Content Export + GA4 + System,"Update analytics when content export changes",P1,Content change detection,❌ New Integration,All content fields,Content changes affect analytics
Integration,-,Image Asset Management,Manage promotion image assets,New,Content Export + CDN + System,"Store and serve images from Image field references",P1,Asset pipeline,❌ New Requirement,Image field,Image assets need CDN integration
Analytics API v2,-,Content-Enhanced Endpoints,All endpoints include content metadata,Updated,API v2 + Content Export,"Enhance all API responses with Title, Description, Images",P1,Content integration,❌ API Enhancement,Content metadata fields,API responses enriched with content
Analytics API v2,-,Content Search Endpoint,Search promotions by content,New,API v2 + Content Export,"GET /analytics/promotions/search?title=&category=&dealtype=",P2,Content search logic,❌ New Endpoint,Title + Category + deal_type,Content-based search capabilities
Analytics API v2,-,Content Performance Endpoint,Performance data with content context,New,API v2 + Content Export,"GET /analytics/content/performance with full content metadata",P1,Content-performance integration,❌ New Endpoint,All content + performance,Unified content-performance view
